Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (N),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (N/W),Overall Efficiency (N/W),Left Load Cell (mV),Right Load Cell (mV),Thrust Load Cell (mV),Vibration (g),Burst Current Cutoff (A),Pin State ESC,Pin State Servo1,Pin State Servo2,Pin State Servo3,Debug 0,Debug 1,Debug 2,Debug 3,49D0 Temp (ºC),Debug 3,App message,
0,1000,,,,-0.02763671875,0.0265625,-0.97744140625,-0.0006176262604463307,0.30586969200980924,15.956709440857015,0.02972662896715144,0,0,0.36278424638407336,0,0,0,0,-0.16432275555458625,-0.03958551543132655,-0.4347544845408131,0.08916015625,0.030426417986387854,0.1,1,1,1,0,0,0,0,29.5625,0,,
3.559771188746346,1050,,,,-0.0236328125,0.0232421875,-0.977734375,-0.0005946586686971165,0.3051189862589104,15.956926678037467,0.03746648734260015,0,108,0.4703651089090369,0.00637602594885069,1.3666727815280335,0,0.5862781828312273,-0.16442956418631585,-0.039619232993643116,-0.4346747119740388,0.091015625,0.035109353108936064,0,0.8,1,1,0,0,0,0,29.6875,0,,
6.68540968874637,1100,,,,-0.0302734375,0.0185546875,-0.9818359375,-0.0025086956497357795,0.32833890551258,15.956383496639424,0.08779629529728533,0,1217,1.2561446882679224,0.3198431518113084,25.453814507995183,0.3855524121648813,0.2617272117706762,-0.1586395925620616,-0.033945278192896236,-0.43714214019999603,0.1423828125,0.0687040004829785,0,0.95,1,1,0,0,0,0,29.703125,0,,
9.766934438745213,1150,,,,-0.030078125,0.01982421875,-0.98818359375,-0.006539279943147194,0.5957947596121491,15.95355478520762,0.20355916384444517,0,2091,3.081258138999776,1.4316232193614753,46.4671951369087,0.41642980388607415,0.19341563959709787,-0.14553492002406893,-0.022836758384201298,-0.46556291618949297,0.1193359375,0.14762786107294118,0.1,0.9,1,1,0,0,0,0,29.546875,0,,
12.87382118874793,1200,,,,-0.02900390625,0.0169921875,-0.98564453125,-0.01187362151998276,0.9135522192048348,15.950903153982134,0.40777646960322933,0,2878,6.376467501449683,3.5782093290902934,56.11596511795879,0.25531846476811076,0.14327014083749565,-0.12934192751839207,-0.007075771338740655,-0.49932891323031037,0.19169921875,0.296939789605564,0.05,0.8,1,1,0,0,0,0,29.29375,0,,
16.004298938745823,1250,,,,-0.028515625,0.01669921875,-0.98671875,-0.018111349189780447,1.283648275966155,15.946348107577128,0.6913597010535937,0,3570,10.911438409755721,6.77159136994396,62.06059471451723,0.18957497736863585,0.1176454671469446,-0.11032535785344195,0.011279588070818192,-0.5386565890414137,0.27431640625,0.525488119678069,0.1,1,1,1,0,0,0,0,28.78125,0,,
19.146914688745703,1300,,,,-0.03291015625,0.02119140625,-0.987109375,-0.025755677548578788,1.8111551023862142,15.940312905617223,1.1156331520621718,0,4281,17.645042441639948,11.547286218854456,65.44298183906521,0.15684799112639913,0.10264477265556128,-0.08602347373093079,0.03285613281884311,-0.5947112728960195,0.61064453125,0.8679608004666995,0.1,0.9,1,1,0,0,0,0,28.29375,0,,
22.288877688746904,1350,,,,-0.03056640625,0.0140625,-0.98544921875,-0.033881890235132064,2.377298001976572,15.930931680718285,1.6885436850215307,0,4956,26.741275185442582,17.585393156212593,65.76173225852338,0.13518992611478034,0.08889955197977704,-0.061792102200631416,0.05726804393856486,-0.6548715583437698,0.54033203125,1.341191500160313,0.15,0.85,1,1,0,0,0,0,27.78125,0,,
25.4008871887466,1400,,,,-0.034765625,0.02021484375,-0.9900390625,-0.04368857348966929,3.0647873611443224,15.920063298094822,2.4115617648849677,0,5613,38.251671216292365,25.68148202444512,67.1383154361344,0.11933812338654763,0.08012168842403795,-0.03219323634560864,0.08640002026251282,-0.7279265346046196,0.5142578125,1.957530669387045,0.1,0.8,1,1,0,0,0,0,27.35625,0,,
28.54584143874515,1450,,,,-0.02802734375,0.0109375,-0.98984375,-0.05387073319195659,3.7709075022820606,15.907154754369609,3.2809148414509517,0,6236,52.021483436448456,35.1808573273838,67.62775684447102,0.10718697889545536,0.0724876871871551,-0.0013695508007609638,0.11656312107644184,-0.8029612816304839,0.411328125,2.7244603016834974,0.15,0.8,1,1,0,0,0,0,27.09375,0,,
31.65899943874596,1500,,,,-0.0384765625,0.0201171875,-0.98701171875,-0.06418103078621959,4.521629316356872,15.890363769762843,4.26008864433848,0,6815,67.54733410511034,45.806258303016314,67.81491372167417,0.09871212223254293,0.0669411668499362,0.031235411087519278,0.1458230727345803,-0.8827355553328872,1.2099609375,3.6111146338750855,0.2,0.8,1,1,0,0,0,0,26.834375,0,,
